Date,Price,Open,High,Low,Vol.,Change %
2019-12-09,1461.99,1459.19,1465.50,1458.55,,0.15%
2019-12-06,1459.76,1475.85,1477.15,1458.42,,-1.08%
2019-12-05,1475.70,1474.06,1480.50,1472.60,,0.09%
2019-12-04,1474.35,1477.21,1484.25,1471.21,,-0.20%
2019-12-03,1477.34,1462.50,1481.90,1458.87,,1.02%
2019-12-02,1462.44,1466.73,1466.73,1453.70,,-0.16%
2019-11-29,1464.80,1456.70,1467.21,1453.38,,0.44%
2019-11-28,1458.34,1456.85,1458.45,1454.19,,0.27%
2019-11-27,1454.35,1461.35,1461.82,1452.20,,-0.50%
2019-11-26,1461.60,1455.28,1463.06,1450.70,,0.46%
2019-11-25,1454.97,1462.14,1462.14,1453.50,,-0.50%
2019-11-22,1462.29,1464.40,1473.15,1461.00,,-0.14%
2019-11-21,1464.40,1471.40,1475.85,1462.43,,-0.47%
2019-11-20,1471.25,1472.39,1478.90,1465.66,,-0.08%
2019-11-19,1472.38,1470.85,1475.50,1464.30,,0.10%
2019-11-18,1470.85,1467.51,1474.10,1455.97,,0.24%
